Time,Damper_Position,Flow_Temperature,Set_Point,Heat_Cool,Source_Temperature,Room_Temperature,Flow_Rate,Valve_Position,Thermal Load,Reheat,Critical Cool,Critical Heat,Critical Pressure
2015-04-01 00:00:00-07:00,24.7999992371,65.6,76.0,0.0,61.987487793,68.75,215.2,0.0,-214.438213016,245.924019737,,,
2015-04-01 00:05:00-07:00,25.0999994278,65.8,76.0,0.0,61.987487793,68.75,220.0,0.0,-205.302413771,265.328121571,,,
2015-04-01 00:10:00-07:00,24.0,65.9,76.0,0.0,61.987487793,68.75,216.8,0.0,-195.458020679,268.326979604,,,
2015-04-01 00:15:00-07:00,23.9999996185,65.9,76.0,0.0,61.987487793,68.75,220.8,0.0,-199.064257223,273.277661884,,,
2015-04-01 00:20:00-07:00,24.3199996948,65.9,76.0,0.0,61.987487793,68.75,216.8,0.0,-195.458020679,268.326979604,,,
2015-04-01 00:25:00-07:00,24.1599998474,65.9,76.0,0.0,61.987487793,68.75,220.8,0.0,-199.064257223,273.277661884,,,
2015-04-01 00:30:00-07:00,24.4799995422,65.8,76.0,0.0,61.987487793,68.75,222.4,0.0,-207.542076467,268.22261017,,,
2015-04-01 00:35:00-07:00,23.7999997139,66.0,76.0,0.0,61.987487793,68.75,216.0,0.0,-187.90390413,274.169712389,,,
2015-04-01 00:40:00-07:00,24.1333332062,66.0,76.0,0.0,61.987487793,68.75,220.8,0.0,-192.079546443,280.262372664,,,
2015-04-01 00:45:00-07:00,24.0,66.0,76.0,0.0,61.987487793,68.75,220.8,0.0,-192.079546443,280.262372664,,,
2015-04-01 00:50:00-07:00,23.7999997139,66.0,76.0,0.0,61.987487793,68.75,217.6,0.0,-189.295784901,276.200599147,,,
2015-04-01 00:55:00-07:00,23.8399993896,66.0,76.0,0.0,61.987487793,68.75,216.0,0.0,-187.90390413,274.169712389,,,
2015-04-01 01:00:00-07:00,24.1599998474,66.0,76.0,0.0,61.987487793,68.75,222.4,0.0,-193.471427215,282.293259422,,,
2015-04-01 01:05:00-07:00,23.9999996185,66.0,76.0,0.0,61.987487793,68.75,220.0,0.0,-191.383606058,279.246929285,,,
2015-04-01 01:10:00-07:00,23.5199993134,65.8,76.0,0.0,61.4812316895,68.75,216.8,0.0,-202.316196844,296.18873886,,,
2015-04-01 01:15:00-07:00,24.1599998474,65.6,76.0,0.0,61.4812316895,68.75,219.2,0.0,-218.424053406,285.599387121,,,
2015-04-01 01:20:00-07:00,23.9999996185,65.7,76.0,0.0,61.4812316895,68.75,215.2,0.0,-207.630650698,287.195281791,,,
2015-04-01 01:25:00-07:00,24.1599998474,65.0833333333,76.0,0.0,61.4812316895,68.75,221.333333333,0.0,-256.724675601,252.204102547,,,
2015-04-01 01:30:00-07:00,24.0,65.625,76.0,0.0,61.4812316895,68.75,219.0,0.0,-216.492818836,287.070746289,,,
2015-04-01 01:35:00-07:00,23.8399997711,65.7,76.0,0.0,61.4812316895,68.75,217.6,0.0,-209.946234163,290.398203149,,,
2015-04-01 01:40:00-07:00,24.0,65.5833333333,76.0,0.0,61.4812316895,68.6666666667,218.0,0.0,-212.630876923,282.886530735,,,
2015-04-01 01:45:00-07:00,23.9999996185,65.5,76.0,0.0,61.4812316895,68.6875,222.0,0.0,-223.847643366,282.22488331,,,
2015-04-01 01:50:00-07:00,24.1599998474,65.6,76.0,0.0,61.4812316895,68.65,220.8,0.0,-213.033678783,287.68405418,,,
2015-04-01 01:55:00-07:00,23.6799995422,65.5,76.0,0.0,61.4812316895,68.55,216.0,0.0,-208.402511853,274.597183761,,,
